Allegan Twp,01
Casco Twp,02
Cheshire Twp,03
Clyde Twp,04
Dorr Twp,05
Fillmore Twp,06
Ganges Twp,07
Gun Plain Twp,08
Heath Twp,09
Hopkins Twp,10
Laketown Twp,11
Lee Twp,12
Leighton Twp,13
Manlius Twp,14
Martin Twp,15
Monterey Twp,16
Otsego Twp,17
Overisel Twp,18
Salem Twp,19
Saugatuck Twp,20
Trowbridge Twp,21
Valley Twp,22
Watson Twp,23
Wayland Twp,24
Martin Village,42
Hopkins Village,44
Allegan City,51
Fennville City,52
Holland City,53
Otsego City,54
Plainwell City,55
Wayland City,56
Saugatuck City,57
South Haven City,58
Douglas City,59
